,PCE,RGAP,Level,Slope,Curvature
1989-10-01,2.19,0.0691205927759384,1.0,1.0,2.0
1990-01-01,2.389333333333333,0.0723332834521546,0.0,0.0,2.0
1990-04-01,2.163666666666667,0.0688593130779615,1.0,1.0,2.0
1990-07-01,2.5803333333333334,0.0629769266219728,0.0,0.0,0.0
1990-10-01,2.922333333333333,0.0476630357891547,1.0,1.0,1.0
1991-01-01,2.403,0.0369973055657482,1.0,2.0,1.0
1991-04-01,2.203,0.038853943652743,2.0,0.0,0.0
1991-07-01,1.8673333333333333,0.0379910389108566,2.0,1.0,2.0
1991-10-01,1.522,0.0355170690866213,0.0,0.0,0.0
1992-01-01,1.592666666666667,0.0414037059657257,1.0,2.0,0.0
1992-04-01,1.6763333333333332,0.0460928440729286,1.0,2.0,0.0
1992-07-01,1.661333333333333,0.0496940665366949,0.0,1.0,0.0
1992-10-01,1.656,0.0537798781728593,2.0,2.0,0.0
1993-01-01,1.646,0.04911455242509,2.0,1.0,2.0
1993-04-01,1.661333333333333,0.0484975961641946,1.0,2.0,2.0
1993-07-01,1.540333333333333,0.0468128001274354,2.0,2.0,0.0
1993-10-01,1.4713333333333334,0.0538747071630183,0.0,2.0,0.0
1994-01-01,1.325,0.0571104614428197,2.0,2.0,0.0
1994-04-01,1.259,0.0641884129017391,1.0,0.0,2.0
1994-07-01,1.452,0.0636187913564576,0.0,1.0,0.0
1994-10-01,1.3893333333333333,0.0686312936632038,1.0,1.0,1.0
1995-01-01,1.482,0.0658463812002061,2.0,1.0,0.0
1995-04-01,1.5056666666666667,0.0624902970025598,0.0,0.0,2.0
1995-07-01,1.3073333333333332,0.0646005049612021,0.0,2.0,0.0
1995-10-01,1.2933333333333332,0.0647778824185056,1.0,2.0,2.0
1996-01-01,1.3453333333333333,0.0653845142591968,0.0,0.0,1.0
1996-04-01,1.4136666666666666,0.0744301466864048,0.0,2.0,1.0
1996-07-01,1.4313333333333331,0.0752435451375888,2.0,0.0,1.0
1996-10-01,1.6053333333333335,0.0769996224984748,1.0,1.0,1.0
1997-01-01,1.534,0.0745664857581811,2.0,0.0,0.0
1997-04-01,1.2506666666666666,0.0820992607395201,1.0,0.0,0.0
1997-07-01,1.1416666666666666,0.0853672595910506,1.0,2.0,2.0
1997-10-01,0.891,0.0846357032377156,0.0,2.0,0.0
1998-01-01,0.588,0.0853048972912375,2.0,1.0,1.0
1998-04-01,0.54,0.0849851667407222,0.0,1.0,1.0
1998-07-01,0.5736666666666667,0.0876921016971827,1.0,1.0,1.0
1998-10-01,0.5393333333333333,0.0933531508827503,1.0,1.0,0.0
1999-01-01,0.6743333333333333,0.0916531882541864,1.0,2.0,0.0
1999-04-01,0.953,0.0881461667696381,1.0,0.0,0.0
1999-07-01,1.129,0.0890624462953617,2.0,1.0,1.0
1999-10-01,1.3796666666666666,0.0930567682925254,2.0,2.0,2.0
2000-01-01,1.8296666666666668,0.084893635582576,0.0,1.0,1.0
2000-04-01,1.772,0.0922829363067982,0.0,2.0,0.0
2000-07-01,1.851,0.0837845205926584,1.0,1.0,1.0
2000-10-01,1.8316666666666663,0.0811180730393203,1.0,1.0,1.0
2001-01-01,1.7926666666666666,0.0698496651943259,0.0,2.0,0.0
2001-04-01,1.7956666666666663,0.0684913289330992,2.0,2.0,1.0
2001-07-01,1.3596666666666666,0.0571934291975591,1.0,0.0,0.0
2001-10-01,0.9716666666666668,0.0528468099377192,1.0,1.0,2.0
2002-01-01,0.5723333333333332,0.0541908057065452,1.0,1.0,1.0
2002-04-01,0.7816666666666667,0.0532832171010095,0.0,0.0,2.0
2002-07-01,1.1376666666666666,0.0503514900533126,1.0,0.0,1.0
2002-10-01,1.4643333333333333,0.0447967295081035,1.0,2.0,2.0
2003-01-01,1.9,0.0435854924215082,1.0,1.0,2.0
2003-04-01,1.4166666666666667,0.0463238573054898,0.0,0.0,0.0
2003-07-01,1.5336666666666667,0.0570568843932282,0.0,1.0,1.0
2003-10-01,1.5603333333333331,0.0628916468310389,0.0,2.0,1.0
2004-01-01,1.5776666666666668,0.0626610198310952,2.0,1.0,0.0
2004-04-01,2.032,0.0642280075039583,2.0,1.0,1.0
2004-07-01,1.9123333333333328,0.0672423013440077,0.0,1.0,2.0
2004-10-01,2.212333333333333,0.0708651836344049,1.0,1.0,1.0
2005-01-01,2.0763333333333334,0.0755587809201259,0.0,2.0,2.0
2005-04-01,2.057,0.0744384943402707,0.0,1.0,1.0
2005-07-01,2.546666666666667,0.0763829244523108,0.0,2.0,2.0
2005-10-01,2.52,0.0761765768228794,0.0,2.0,1.0
2006-01-01,2.4833333333333334,0.0838299356269569,1.0,1.0,0.0
2006-04-01,2.704333333333333,0.0806509250382436,1.0,2.0,2.0
2006-07-01,2.43,0.0765488488432968,0.0,0.0,1.0
2006-10-01,1.6326666666666667,0.0798047603348397,1.0,2.0,0.0
2007-01-01,1.975666666666667,0.0776818596265034,2.0,0.0,1.0
2007-04-01,1.9686666666666668,0.0789014612824132,0.0,1.0,2.0
2007-07-01,1.85,0.0799311694621991,2.0,2.0,1.0
2007-10-01,2.8726666666666665,0.0815874653870203,1.0,2.0,0.0
2008-01-01,2.810666666666666,0.0727338593107465,0.0,2.0,2.0
2008-04-01,2.945,0.0741559734256931,2.0,2.0,1.0
2008-07-01,3.4096666666666664,0.0644719190864187,1.0,1.0,0.0
2008-10-01,1.0863333333333334,0.0381039676935834,2.0,0.0,2.0
2009-01-01,-0.2266666666666667,0.0227477454412081,0.0,1.0,0.0
2009-04-01,-0.7373333333333334,0.0172660069836041,0.0,1.0,2.0
2009-07-01,-1.0793333333333333,0.0173314107261184,2.0,1.0,2.0
2009-10-01,1.049,0.0248504632944079,2.0,1.0,1.0
2010-01-01,1.996,0.0265991671594996,0.0,0.0,0.0
2010-04-01,1.7853333333333334,0.0332408621883466,2.0,1.0,1.0
2010-07-01,1.348666666666667,0.0377915227725651,1.0,2.0,0.0
2010-10-01,1.2406666666666666,0.0395909480600824,1.0,0.0,2.0
2011-01-01,1.658,0.0332585050090159,0.0,1.0,1.0
2011-04-01,2.421333333333333,0.0353918146827094,2.0,2.0,1.0
2011-07-01,2.676,0.030118576479694,2.0,2.0,0.0
2011-10-01,2.404,0.0361055793152509,0.0,1.0,1.0
2012-01-01,2.259,0.0394201340385489,0.0,1.0,1.0
2012-04-01,1.5833333333333333,0.0391645508623792,2.0,0.0,2.0
2012-07-01,1.4286666666666663,0.0361808172015543,0.0,1.0,0.0
2012-10-01,1.651333333333333,0.0330866715433781,1.0,0.0,2.0
2013-01-01,1.365,0.0386901964150823,2.0,2.0,0.0
2013-04-01,1.187,0.0370926406266747,0.0,0.0,0.0
2013-07-01,1.3053333333333337,0.0412355132728414,0.0,2.0,1.0
2013-10-01,1.1286666666666667,0.0454709980960998,0.0,0.0,0.0
2014-01-01,1.2373333333333334,0.037450003625425,0.0,1.0,2.0
2014-04-01,1.6206666666666667,0.0456081638588834,2.0,1.0,2.0
2014-07-01,1.4936666666666667,0.0528566215565593,1.0,0.0,0.0
2014-10-01,1.0106666666666666,0.0529810102592627,0.0,0.0,2.0
2015-01-01,0.1326666666666667,0.0569689213941781,0.0,0.0,0.0
2015-04-01,0.1833333333333333,0.0581472682303356,0.0,2.0,0.0
2015-07-01,0.1703333333333334,0.0572402557274269,0.0,2.0,0.0
2015-10-01,0.2253333333333333,0.0544040043716336,2.0,2.0,0.0
2016-01-01,0.709,0.0557941320862607,0.0,0.0,0.0
2016-04-01,0.8446666666666667,0.0549639757529458,1.0,1.0,2.0
2016-07-01,0.931,0.0581966112019589,2.0,0.0,0.0
2016-10-01,1.4563333333333337,0.0598582443308792,2.0,1.0,0.0
2017-01-01,1.986,0.0605830458048064,2.0,0.0,1.0
2017-04-01,1.5673333333333332,0.0616267921884503,1.0,1.0,1.0
2017-07-01,1.581,0.0645534732608883,2.0,0.0,0.0
2017-10-01,1.729,0.0706821549254979,0.0,0.0,0.0
2018-01-01,1.8556666666666668,0.0737403213724601,2.0,2.0,1.0
2018-04-01,2.187666666666667,0.0741901733231742,0.0,0.0,1.0
2018-07-01,2.177666666666666,0.0756976774074136,2.0,1.0,1.0
2018-10-01,1.9663333333333333,0.0725142923733734,1.0,0.0,0.0
2019-01-01,1.4976666666666667,0.0733232161219721,1.0,0.0,0.0
2019-04-01,1.51,0.0768540432509041,0.0,1.0,2.0
2019-07-01,1.42,0.0832597482184027,0.0,1.0,1.0
2019-10-01,1.438,0.0848241907819211,0.0,0.0,0.0
2020-01-01,1.538333333333333,0.0664727009070471,2.0,0.0,0.0
2020-04-01,0.5396666666666667,-0.0199952252078698,1.0,2.0,0.0
2020-07-01,1.145,0.0510790323154051,0.0,1.0,0.0
2020-10-01,1.2626666666666666,0.0571422561062284,1.0,2.0,1.0
2021-01-01,2.162,0.0654035674490121,0.0,0.0,2.0
2021-04-01,4.246333333333333,0.0756493432274787,2.0,1.0,1.0
2021-07-01,4.886,0.078713065558146,1.0,1.0,1.0
2021-10-01,6.171333333333333,0.0904623819621566,2.0,0.0,0.0
2022-01-01,7.012666666666666,0.0804798544240252,2.0,1.0,1.0
2022-04-01,7.368666666666667,0.0742948743238098,1.0,0.0,0.0
2022-07-01,7.199666666666666,0.0763123699135075,1.0,0.0,2.0
2022-10-01,6.584,0.0782822512073071,0.0,0.0,0.0
2023-01-01,5.718666666666667,0.0795872134057464,2.0,2.0,2.0
2023-04-01,4.468,0.0802288112980935,0.0,1.0,2.0
