DATE,GDPC1
1947/1/1,2034.45
1947/4/1,2029.024
1947/7/1,2024.834
1947/10/1,2056.508
1948/1/1,2087.442
1948/4/1,2121.899
1948/7/1,2134.056
1948/10/1,2136.44
1949/1/1,2107.001
1949/4/1,2099.814
1949/7/1,2121.493
1949/10/1,2103.688
1950/1/1,2186.365
1950/4/1,2253.045
1950/7/1,2340.112
1950/10/1,2384.92
1951/1/1,2417.311
1951/4/1,2459.196
1951/7/1,2509.88
1951/10/1,2515.408
1952/1/1,2542.286
1952/4/1,2547.762
1952/7/1,2566.153
1952/10/1,2650.431
1953/1/1,2699.699
1953/4/1,2720.566
1953/7/1,2705.258
1953/10/1,2664.302
1954/1/1,2651.566
1954/4/1,2654.456
1954/7/1,2684.434
1954/10/1,2736.96
1955/1/1,2815.134
1955/4/1,2860.942
1955/7/1,2899.578
1955/10/1,2916.985
1956/1/1,2905.656
1956/4/1,2929.666
1956/7/1,2927.034
1956/10/1,2975.209
1957/1/1,2994.259
1957/4/1,2987.699
1957/7/1,3016.979
1957/10/1,2985.775
1958/1/1,2908.281
1958/4/1,2927.395
1958/7/1,2995.112
1958/10/1,3065.141
1959/1/1,3123.978
1959/4/1,3194.429
1959/7/1,3196.683
1959/10/1,3205.79
1960/1/1,3277.847
1960/4/1,3260.177
1960/7/1,3276.133
1960/10/1,3234.087
1961/1/1,3255.914
1961/4/1,3311.181
1961/7/1,3374.742
1961/10/1,3440.924
1962/1/1,3502.298
1962/4/1,3533.947
1962/7/1,3577.362
1962/10/1,3589.128
1963/1/1,3628.306
1963/4/1,3669.02
1963/7/1,3749.681
1963/10/1,3774.264
1964/1/1,3853.835
1964/4/1,3895.793
1964/7/1,3956.657
1964/10/1,3968.878
1965/1/1,4064.915
1965/4/1,4116.267
1965/7/1,4207.782
1965/10/1,4304.731
1966/1/1,4409.518
1966/4/1,4424.581
1966/7/1,4462.053
1966/10/1,4498.66
1967/1/1,4538.498
1967/4/1,4541.28
1967/7/1,4584.246
1967/10/1,4618.812
1968/1/1,4713.013
1968/4/1,4791.758
1968/7/1,4828.892
1968/10/1,4847.885
1969/1/1,4923.76
1969/4/1,4938.728
1969/7/1,4971.349
1969/10/1,4947.104
1970/1/1,4939.759
1970/4/1,4946.77
1970/7/1,4992.357
1970/10/1,4938.857
1971/1/1,5072.996
1971/4/1,5100.447
1971/7/1,5142.422
1971/10/1,5154.547
1972/1/1,5249.337
1972/4/1,5368.485
1972/7/1,5419.184
1972/10/1,5509.926
1973/1/1,5646.286
1973/4/1,5707.755
1973/7/1,5677.738
1973/10/1,5731.632
1974/1/1,5682.353
1974/4/1,5695.859
1974/7/1,5642.025
1974/10/1,5620.126
1975/1/1,5551.713
1975/4/1,5591.382
1975/7/1,5687.087
1975/10/1,5763.665
1976/1/1,5893.276
1976/4/1,5936.515
1976/7/1,5969.089
1976/10/1,6012.356
1977/1/1,6083.391
1977/4/1,6201.659
1977/7/1,6313.559
1977/10/1,6313.697
1978/1/1,6333.848
1978/4/1,6578.605
1978/7/1,6644.754
1978/10/1,6734.069
1979/1/1,6746.176
1979/4/1,6753.389
1979/7/1,6803.558
1979/10/1,6820.572
1980/1/1,6842.024
1980/4/1,6701.046
1980/7/1,6693.082
1980/10/1,6817.903
1981/1/1,6951.495
1981/4/1,6899.98
1981/7/1,6982.609
1981/10/1,6906.529
1982/1/1,6799.233
1982/4/1,6830.251
1982/7/1,6804.139
1982/10/1,6806.857
1983/1/1,6896.561
1983/4/1,7053.5
1983/7/1,7194.504
1983/10/1,7344.597
1984/1/1,7488.167
1984/4/1,7617.547
1984/7/1,7690.985
1984/10/1,7754.117
1985/1/1,7829.26
1985/4/1,7898.194
1985/7/1,8018.809
1985/10/1,8078.415
1986/1/1,8153.829
1986/4/1,8190.552
1986/7/1,8268.935
1986/10/1,8313.338
1987/1/1,8375.274
1987/4/1,8465.63
1987/7/1,8539.075
1987/10/1,8685.694
1988/1/1,8730.569
1988/4/1,8845.28
1988/7/1,8897.107
1988/10/1,9015.661
1989/1/1,9107.314
1989/4/1,9176.827
1989/7/1,9244.816
1989/10/1,9263.033
1990/1/1,9364.259
1990/4/1,9398.243
1990/7/1,9404.494
1990/10/1,9318.876
1991/1/1,9275.276
1991/4/1,9347.597
1991/7/1,9394.834
1991/10/1,9427.581
1992/1/1,9540.444
1992/4/1,9643.893
1992/7/1,9739.185
1992/10/1,9840.753
1993/1/1,9857.185
1993/4/1,9914.565
1993/7/1,9961.873
1993/10/1,10097.362
1994/1/1,10195.338
1994/4/1,10333.495
1994/7/1,10393.898
1994/10/1,10512.962
1995/1/1,10550.251
1995/4/1,10581.723
1995/7/1,10671.738
1995/10/1,10744.203
1996/1/1,10824.674
1996/4/1,11005.217
1996/7/1,11103.935
1996/10/1,11219.238
1997/1/1,11291.665
1997/4/1,11479.33
1997/7/1,11622.911
1997/10/1,11722.722
1998/1/1,11839.876
1998/4/1,11949.492
1998/7/1,12099.191
1998/10/1,12294.737
1999/1/1,12410.778
1999/4/1,12514.408
