Date,Last Price
2023/6/30,2.1
2023/3/31,2
2022/12/31,2.6
2022/9/30,3.2
2022/6/30,-0.6
2022/3/31,-1.6
2021/12/31,7
2021/9/30,2.7
2021/6/30,7
2021/3/31,6.3
2020/12/31,3.9
2020/9/30,35.3
2020/6/30,-29.9
2020/3/31,-4.6
2019/12/31,1.8
2019/9/30,3.6
2019/6/30,2.7
2019/3/31,2.2
2018/12/31,0.7
2018/9/30,2.9
2018/6/30,2.8
2018/3/31,2.8
2017/12/31,4.1
2017/9/30,3.4
2017/6/30,2
2017/3/31,1.7
2016/12/31,2
2016/9/30,2.4
2016/6/30,1.2
2016/3/31,2.4
2015/12/31,0.6
2015/9/30,1.3
2015/6/30,2.3
2015/3/31,3.3
2014/12/31,1.8
2014/9/30,4.7
2014/6/30,5.2
2014/3/31,-1.4
2013/12/31,2.9
2013/9/30,3.2
2013/6/30,0.6
2013/3/31,3.5
2012/12/31,0.4
2012/9/30,0.7
2012/6/30,1.8
2012/3/31,3.3
2011/12/31,4.6
2011/9/30,-0.2
2011/6/30,2.7
2011/3/31,-1
2010/12/31,2.1
2010/9/30,3.1
2010/6/30,3.9
2010/3/31,2
2009/12/31,4.3
2009/9/30,1.5
2009/6/30,-0.7
2009/3/31,-4.6
2008/12/31,-8.5
2008/9/30,-2.1
2008/6/30,2.3
2008/3/31,-1.6
2007/12/31,2.5
2007/9/30,2.4
2007/6/30,2.6
2007/3/31,1.2
2006/12/31,3.4
2006/9/30,0.6
2006/6/30,1
2006/3/31,5.5
2005/12/31,2.3
2005/9/30,3.2
2005/6/30,2
2005/3/31,4.5
2004/12/31,4.2
2004/9/30,3.8
2004/6/30,3.2
2004/3/31,2.3
2003/12/31,4.7
2003/9/30,6.8
2003/6/30,3.6
2003/3/31,2.1
2002/12/31,0.5
2002/9/30,1.6
2002/6/30,2.5
2002/3/31,3.4
2001/12/31,1.1
2001/9/30,-1.6
2001/6/30,2.5
2001/3/31,-1.3
2000/12/31,2.4
2000/9/30,0.4
2000/6/30,7.5
2000/3/31,1.5
1999/12/31,6.7
1999/9/30,5.4
1999/6/30,3.4
1999/3/31,3.8
1998/12/31,6.6
1998/9/30,5.1
1998/6/30,3.8
1998/3/31,4.1
1997/12/31,3.5
1997/9/30,5.1
1997/6/30,6.8
1997/3/31,2.6
1996/12/31,4.2
1996/9/30,3.6
1996/6/30,6.8
1996/3/31,3
1995/12/31,2.7
1995/9/30,3.4
1995/6/30,1.2
1995/3/31,1.4
1994/12/31,4.7
1994/9/30,2.4
1994/6/30,5.5
1994/3/31,3.9
1993/12/31,5.5
1993/9/30,1.9
1993/6/30,2.3
1993/3/31,0.7
1992/12/31,4.2
1992/9/30,4
1992/6/30,4.4
1992/3/31,4.9
1991/12/31,1.4
1991/9/30,2
1991/6/30,3.2
1991/3/31,-1.9
1990/12/31,-3.6
1990/9/30,0.3
1990/6/30,1.5
1990/3/31,4.4
1989/12/31,0.8
1989/9/30,3
1989/6/30,3.1
1989/3/31,4.1
1988/12/31,5.4
1988/9/30,2.4
1988/6/30,5.4
1988/3/31,2.1
1987/12/31,7
1987/9/30,3.5
1987/6/30,4.4
1987/3/31,3
1986/12/31,2.2
1986/9/30,3.9
1986/6/30,1.8
1986/3/31,3.8
1985/12/31,3
1985/9/30,6.2
1985/6/30,3.6
1985/3/31,3.9
1984/12/31,3.3
1984/9/30,3.9
1984/6/30,7.1
1984/3/31,8.1
1983/12/31,8.6
1983/9/30,8.2
1983/6/30,9.4
1983/3/31,5.4
1982/12/31,0.2
1982/9/30,-1.5
1982/6/30,1.8
1982/3/31,-6.1
1981/12/31,-4.3
1981/9/30,4.9
1981/6/30,-2.9
1981/3/31,8.1
1980/12/31,7.7
1980/9/30,-0.5
1980/6/30,-8
1980/3/31,1.3
1979/12/31,1
1979/9/30,3
1979/6/30,0.4
1979/3/31,0.7
1978/12/31,5.5
1978/9/30,4.1
1978/6/30,16.4
1978/3/31,1.3
1977/12/31,0
1977/9/30,7.4
1977/6/30,8
1977/3/31,4.8
1976/12/31,2.9
1976/9/30,2.2
1976/6/30,3
1976/3/31,9.3
