Date,Last Price
2023/9/25,5.3414
2023/9/22,5.3525
2023/9/21,5.375
2023/9/20,5.3809
2023/9/19,5.3893
2023/9/18,5.385
2023/9/15,5.3525
2023/9/14,5.375
2023/9/13,5.3706
2023/9/12,5.374
2023/9/11,5.3722
2023/9/8,5.3602
2023/9/7,5.3519
2023/9/6,5.3553
2023/9/5,5.3663
2023/9/1,5.3671
2023/8/31,5.3622
2023/8/30,5.3706
2023/8/29,5.3663
2023/8/28,5.385
2023/8/25,5.3576
2023/8/24,5.3775
2023/8/23,5.3732
2023/8/22,5.374
2023/8/21,5.385
2023/8/18,5.3602
2023/8/17,5.3494
2023/8/16,5.3553
2023/8/15,5.3612
2023/8/14,5.3824
2023/8/11,5.3602
2023/8/10,5.3289
2023/8/9,5.322
2023/8/8,5.356
2023/8/7,5.3696
2023/8/4,5.314
2023/8/3,5.3186
2023/8/2,5.3501
2023/8/1,5.3663
2023/7/31,5.3466
2023/7/28,5.3115
2023/7/27,5.3417
2023/7/26,5.3501
2023/7/25,5.3535
2023/7/24,5.3414
2023/7/21,5.2551
2023/7/20,5.2495
2023/7/19,5.2528
2023/7/18,5.2331
2023/7/17,5.2646
2023/7/14,5.2192
2023/7/13,5.2418
2023/7/12,5.2426
2023/7/11,5.2408
2023/7/10,5.2466
2023/7/7,5.1885
2023/7/6,5.1753
2023/7/5,5.1632
2023/7/3,5.1665
2023/6/30,5.1065
2023/6/29,5.1113
2023/6/28,5.0941
2023/6/27,5.0973
2023/6/26,5.0929
2023/6/23,5.0398
2023/6/22,5.055
2023/6/21,5.0685
2023/6/20,5.0897
2023/6/16,5.0955
2023/6/15,5.0396
2023/6/14,5.0352
2023/6/13,5.1025
2023/6/12,5.1544
2023/6/9,5.0373
2023/6/8,5.0403
2023/6/7,4.9002
2023/6/6,4.9982
2023/6/5,5.1577
2023/6/2,5.0559
2023/6/1,5.1662
2023/5/31,5.1133
2023/5/30,5.1805
2023/5/26,5.4828
2023/5/25,5.4599
2023/5/24,5.6267
2023/5/23,5.4589
2023/5/22,5.4572
2023/5/19,5.3251
2023/5/18,5.299
2023/5/17,5.3457
2023/5/16,5.4717
2023/5/15,5.5313
2023/5/12,5.4197
2023/5/11,5.4267
2023/5/10,5.4351
2023/5/9,5.4283
2023/5/8,5.3217
2023/5/5,5.3404
2023/5/4,4.4263
2023/5/3,4.4014
2023/5/2,4.2743
2023/5/1,4.3616
2023/4/28,4.0865
2023/4/27,4.1051
2023/4/26,3.5729
2023/4/25,3.8179
2023/4/24,3.4079
2023/4/21,3.2579
2023/4/20,3.2313
2023/4/19,3.6824
2023/4/18,3.5783
2023/4/17,3.8081
2023/4/14,3.959
2023/4/13,3.7126
2023/4/12,3.9755
2023/4/11,4.0474
2023/4/10,4.3769
2023/4/6,4.1878
2023/4/5,4.3759
2023/4/4,4.4912
2023/4/3,4.5683
2023/3/31,4.403
2023/3/30,4.462
2023/3/29,4.1463
2023/3/28,4.0958
2023/3/27,4.0351
2023/3/24,3.9207
2023/3/23,3.8222
2023/3/22,3.8736
2023/3/21,3.8995
2023/3/20,4.1881
2023/3/17,3.7039
2023/3/16,3.784
2023/3/15,3.8532
2023/3/14,4.2106
2023/3/13,4.4509
2023/3/10,4.5587
2023/3/9,4.6049
2023/3/8,4.6335
2023/3/7,4.6749
2023/3/6,4.65
2023/3/3,4.6097
2023/3/2,4.5743
2023/3/1,4.5825
2023/2/28,4.5882
2023/2/27,4.6015
2023/2/24,4.5459
2023/2/23,4.5003
2023/2/22,4.5391
2023/2/21,4.5677
2023/2/17,4.5632
2023/2/16,4.5181
2023/2/15,4.5417
2023/2/14,4.5448
2023/2/13,4.5734
2023/2/10,4.5127
2023/2/9,4.5615
2023/2/8,4.5442
2023/2/7,4.5346
2023/2/6,4.5428
2023/2/3,4.4617
2023/2/2,4.4136
2023/2/1,4.4804
2023/1/31,4.5065
2023/1/30,4.53
2023/1/27,4.4234
2023/1/26,4.4697
2023/1/25,4.5213
2023/1/24,4.5524
2023/1/23,4.5453
2023/1/20,4.3902
2023/1/19,4.4008
2023/1/18,4.432
2023/1/17,4.4402
2023/1/13,4.4177
2023/1/12,4.1612
2023/1/11,4.2024
2023/1/10,4.1902
2023/1/9,4.2111
2023/1/6,4.0125
2023/1/5,4.0974
2023/1/4,3.9959
2023/1/3,3.9887
2022/12/30,3.9764
2022/12/29,3.491
2022/12/28,3.6035
2022/12/27,3.6242
2022/12/23,3.6373
2022/12/22,3.6515
2022/12/21,3.6799
2022/12/20,3.693
2022/12/19,3.8056
2022/12/16,3.7754
2022/12/15,3.7432
2022/12/14,3.7487
2022/12/13,3.7516
2022/12/12,3.7138
2022/12/9,3.6198
2022/12/8,3.4987
2022/12/7,3.5652
2022/12/6,3.6905
2022/12/5,3.7316
2022/12/2,3.7014
2022/12/1,3.8171
2022/11/30,3.922
2022/11/29,3.9709
2022/11/28,4.0019
2022/11/25,3.8799
2022/11/23,3.8044
2022/11/22,3.8357
2022/11/21,3.8285
2022/11/18,3.6912
2022/11/17,3.6235
2022/11/16,3.6646
2022/11/15,3.642
2022/11/14,3.6195
2022/11/10,3.5129
2022/11/9,3.4914
2022/11/8,3.5197
2022/11/7,3.6016
2022/11/4,3.4822
2022/11/3,3.3331
2022/11/2,3.5041
2022/11/1,3.5834
2022/10/31,3.5965
2022/10/28,3.4822
2022/10/27,3.2822
2022/10/26,3.364
2022/10/25,3.3974
2022/10/24,3.4411
2022/10/21,3.3191
2022/10/20,3.0658
2022/10/19,3.0966
2022/10/18,3.0995
2022/10/17,3.1328
2022/10/14,3.1025
2022/10/13,2.8902
2022/10/12,2.9032
2022/10/11,2.9085
2022/10/7,2.9062
2022/10/6,2.7579
2022/10/5,2.7123
2022/10/4,2.7049
2022/10/3,2.7153
2022/9/30,2.6366
2022/9/29,2.4425
2022/9/28,2.4732
2022/9/27,2.5827
2022/9/26,2.6058
2022/9/23,2.5602
2022/9/22,2.3738
2022/9/21,2.4147
2022/9/20,2.4784
2022/9/19,2.5269
2022/9/16,2.5093
2022/9/15,2.2619
2022/9/14,2.4045
2022/9/13,2.4174
2022/9/12,2.4811
2022/9/9,2.4584
2022/9/8,2.1602
2022/9/7,2.1451
2022/9/6,2.336
2022/9/2,2.4303
2022/9/1,2.267
2022/8/31,2.2214
2022/8/30,2.3207
2022/8/29,2.3056
2022/8/26,2.2371
2022/8/25,2.1526
2022/8/24,2.1197
2022/8/23,2.1402
2022/8/22,2.153
2022/8/19,2.0819
2022/8/18,2.0713
2022/8/17,2.107
2022/8/16,2.1402
2022/8/15,2.1683
2022/8/12,2.087
2022/8/11,2.0967
2022/8/10,2.1324
2022/8/9,2.13
2022/8/8,2.1148
2022/8/5,2.0845
2022/8/4,2.0484
2022/8/3,2.0816
