Date,Last Price
2023/9/25,4.5802
2023/9/22,4.5245
2023/9/21,4.573
2023/9/20,4.4448
2023/9/19,4.4241
2023/9/18,4.384
2023/9/15,4.4172
2023/9/14,4.3811
2023/9/13,4.3434
2023/9/12,4.3511
2023/9/11,4.3723
2023/9/8,4.3376
2023/9/7,4.3405
2023/9/6,4.351
2023/9/5,4.3704
2023/9/1,4.2936
2023/8/31,4.2107
2023/8/30,4.2257
2023/8/29,4.2303
2023/8/28,4.2774
2023/8/25,4.2841
2023/8/24,4.3021
2023/8/23,4.2699
2023/8/22,4.4004
2023/8/21,4.4465
2023/8/18,4.3751
2023/8/17,4.3868
2023/8/16,4.3519
2023/8/15,4.3155
2023/8/14,4.2888
2023/8/11,4.2614
2023/8/10,4.2518
2023/8/9,4.1701
2023/8/8,4.2067
2023/8/7,4.2698
2023/8/4,4.2007
2023/8/3,4.2909
2023/8/2,4.1749
2023/8/1,4.0919
2023/7/31,4.0096
2023/7/28,4.0105
2023/7/27,4.039
2023/7/26,3.9344
2023/7/25,3.9288
2023/7/24,3.9223
2023/7/21,3.8974
2023/7/20,3.9084
2023/7/19,3.8397
2023/7/18,3.8945
2023/7/17,3.9287
2023/7/14,3.9278
2023/7/13,3.9009
2023/7/12,3.9473
2023/7/11,4.0073
2023/7/10,4.032
2023/7/7,4.0453
2023/7/6,3.9997
2023/7/5,3.9286
2023/7/3,3.8632
2023/6/30,3.8605
2023/6/29,3.8999
2023/6/28,3.807
2023/6/27,3.8422
2023/6/26,3.8142
2023/6/23,3.8115
2023/6/22,3.8686
2023/6/21,3.807
2023/6/20,3.8114
2023/6/16,3.8522
2023/6/15,3.8376
2023/6/14,3.8823
2023/6/13,3.92
2023/6/12,3.8813
2023/6/9,3.8804
2023/6/8,3.8877
2023/6/7,3.945
2023/6/6,3.8439
2023/6/5,3.8831
2023/6/2,3.8877
2023/6/1,3.8149
2023/5/31,3.8611
2023/5/30,3.8904
2023/5/26,3.9607
2023/5/25,3.9953
2023/5/24,3.9859
2023/5/23,3.9476
2023/5/22,3.9662
2023/5/19,3.9271
2023/5/18,3.904
2023/5/17,3.8538
2023/5/16,3.8537
2023/5/15,3.8419
2023/5/12,3.7888
2023/5/11,3.7402
2023/5/10,3.7965
2023/5/9,3.8381
2023/5/8,3.8227
2023/5/5,3.7535
2023/5/4,3.7296
2023/5/3,3.6821
2023/5/2,3.7119
2023/5/1,3.8081
2023/4/28,3.6733
2023/4/27,3.7499
2023/4/26,3.7022
2023/4/25,3.6585
2023/4/24,3.7092
2023/4/21,3.7757
2023/4/20,3.7401
2023/4/19,3.7865
2023/4/18,3.7874
2023/4/17,3.8107
2023/4/14,3.7348
2023/4/13,3.6873
2023/4/12,3.6248
2023/4/11,3.6196
2023/4/10,3.6283
2023/4/6,3.5506
2023/4/5,3.5701
2023/4/4,3.5965
2023/4/3,3.6283
2023/3/31,3.6499
2023/3/30,3.7339
2023/3/29,3.7587
2023/3/28,3.7694
2023/3/27,3.7604
2023/3/24,3.6438
2023/3/23,3.6978
2023/3/22,3.6516
2023/3/21,3.7321
2023/3/20,3.6655
2023/3/17,3.6197
2023/3/16,3.6986
2023/3/15,3.643
2023/3/14,3.8033
2023/3/13,3.7092
2023/3/10,3.7065
2023/3/9,3.8493
2023/3/8,3.8941
2023/3/7,3.8721
2023/3/6,3.8932
2023/3/3,3.8757
2023/3/2,3.9935
2023/3/1,3.9542
2023/2/28,3.9161
2023/2/27,3.9263
2023/2/24,3.9309
2023/2/23,3.8848
2023/2/22,3.9142
2023/2/21,3.9718
2023/2/17,3.8693
2023/2/16,3.9142
2023/2/15,3.841
2023/2/14,3.7746
2023/2/13,3.7728
2023/2/10,3.8158
2023/2/9,3.7264
2023/2/8,3.671
2023/2/7,3.7129
2023/2/6,3.6736
2023/2/3,3.614
2023/2/2,3.5447
2023/2/1,3.5658
2023/1/31,3.6322
2023/1/30,3.652
2023/1/27,3.619
2023/1/26,3.6397
2023/1/25,3.5937
2023/1/24,3.6043
2023/1/23,3.6805
2023/1/20,3.6547
2023/1/19,3.5613
2023/1/18,3.5378
2023/1/17,3.6606
2023/1/13,3.6103
2023/1/12,3.5768
2023/1/11,3.6715
2023/1/10,3.7539
